District,Division,Year,Crop Type,Area(acres),Production(tons)
Khulna,Khulna,2010,Aman Rice,200321,176017
Jessor,Khulna,2010,Aman Rice,375560,332402
Satkhira,Khulna,2010,Aman Rice,251482,286059
Chuadanga,Khulna,2010,Aman Rice,109103,96142
Chittagong,Chittagong,2010,Aman Rice,458472,478656
Cox's Bazar,Chittagong,2010,Aman Rice,184632,207762
Chandpur,Chittagong,2010,Aman Rice,129839,82066
Feni,Chittagong,2010,Aman Rice,162124,191320
Comilla,Chittagong,2010,Aman Rice,361548,349487
Rangamati,Chittagong,2010,Aman Rice,23578,24352
Noakhali,Chittagong,2010,Aman Rice,291268,211545
Khagrachhari,Chittagong,2010,Aman Rice,75644,88001
Dinajpur,North region,2010,Aman Rice,604853,637965
Rangpur,North region,2010,Aman Rice,343825,368115
Rajshahi,North region,2010,Aman Rice,181820,201370
Bogura,North region,2010,Aman Rice,453517,396788
Khulna,Khulna,2011,Aman Rice,206177,181186
Jessor,Khulna,2011,Aman Rice,336037,353267
Satkhira,Khulna,2011,Aman Rice,207797,219388
Chuadanga,Khulna,2011,Aman Rice,107381,122987
Chittagong,Chittagong,2011,Aman Rice,455458,467750
Cox's Bazar,Chittagong,2011,Aman Rice,182297,213334
Chandpur,Chittagong,2011,Aman Rice,108525,77592
Feni,Chittagong,2011,Aman Rice,162522,188358
Comilla,Chittagong,2011,Aman Rice,352781,342915
Rangamati,Chittagong,2011,Aman Rice,24155,25746
Noakhali,Chittagong,2011,Aman Rice,293415,220437
Khagrachhari,Chittagong,2011,Aman Rice,76231,89607
Dinajpur,North region,2011,Aman Rice,610853,606407
Rangpur,North region,2011,Aman Rice,358971,388317
Rajshahi,North region,2011,Aman Rice,180053,185350
Bogura,North region,2011,Aman Rice,453143,428279
Khulna,Khulna,2012,Aman Rice,228120,208540
Jessor,Khulna,2012,Aman Rice,327742,317470
Satkhira,Khulna,2012,Aman Rice,230873,250523
Chuadanga,Khulna,2012,Aman Rice,107457,119763
Chittagong,Chittagong,2012,Aman Rice,444559,474409
Cox's Bazar,Chittagong,2012,Aman Rice,181104,221200
Chandpur,Chittagong,2012,Aman Rice,116604,90938
Feni,Chittagong,2012,Aman Rice,159379,182253
Comilla,Chittagong,2012,Aman Rice,355550,338564
Rangamati,Chittagong,2012,Aman Rice,24009,24566
Noakhali,Chittagong,2012,Aman Rice,307792,234188
Khagrachhari,Chittagong,2012,Aman Rice,76139,91560
Dinajpur,North region,2012,Aman Rice,607702,631882
Rangpur,North region,2012,Aman Rice,385735,408861
Rajshahi,North region,2012,Aman Rice,171087,196898
Bogura,North region,2012,Aman Rice,449903,448188
Khulna,Khulna,2013,Aman Rice,134596,125844
Jessor,Khulna,2013,Aman Rice,500714,350174
Satkhira,Khulna,2013,Aman Rice,239487,250786
Chuadanga,Khulna,2013,Aman Rice,227391,273828
Chittagong,Chittagong,2013,Aman Rice,440237,477130
Cox's Bazar,Chittagong,2013,Aman Rice,178357,179658
Chandpur,Chittagong,2013,Aman Rice,91446,70130
Feni,Chittagong,2013,Aman Rice,165594,196532
Comilla,Chittagong,2013,Aman Rice,347072,326956
Rangamati,Chittagong,2013,Aman Rice,24542,27076
Noakhali,Chittagong,2013,Aman Rice,306912,235917
Khagrachhari,Chittagong,2013,Aman Rice,67204,78135
Dinajpur,North region,2013,Aman Rice,195229,166802
Rangpur,North region,2013,Aman Rice,384166,426809
Rajshahi,North region,2013,Aman Rice,117370,118453
Bogura,North region,2013,Aman Rice,455471,468936
Khulna,Khulna,2014,Aman Rice,247129,255133
Jessor,Khulna,2014,Aman Rice,322696,338975
Satkhira,Khulna,2014,Aman Rice,230416,279166
Chuadanga,Khulna,2014,Aman Rice,90259,99997
Chittagong,Chittagong,2014,Aman Rice,437253,495198
Cox's Bazar,Chittagong,2014,Aman Rice,179172,175192
Chandpur,Chittagong,2014,Aman Rice,105836,71142
Feni,Chittagong,2014,Aman Rice,163459,187203
Comilla,Chittagong,2014,Aman Rice,343998,292803
Rangamati,Chittagong,2014,Aman Rice,24900,27810
Noakhali,Chittagong,2014,Aman Rice,313536,248264
Khagrachhari,Chittagong,2014,Aman Rice,68359,78366
Dinajpur,North region,2014,Aman Rice,300796,339766
Rangpur,North region,2014,Aman Rice,388989,435563
Rajshahi,North region,2014,Aman Rice,527641,605457
Bogura,North region,2014,Aman Rice,448004,480483
Khulna,Khulna,2006,Boro Rice,85440,113713
Jessor,Khulna,2006,Boro Rice,339140,591955
Satkhira,Khulna,2006,Boro Rice,140060,216233
Chuadanga,Khulna,2006,Boro Rice,77735,116240
Chittagong,Chittagong,2006,Boro Rice,173745,188662
Cox's Bazar,Chittagong,2006,Boro Rice,98315,120848
Chandpur,Chittagong,2006,Boro Rice,160920,205306
Feni,Chittagong,2006,Boro Rice,70650,94490
Comilla,Chittagong,2006,Boro Rice,393100,557585
Rangamati,Chittagong,2006,Boro Rice,17755,20631
Noakhali,Chittagong,2006,Boro Rice,109930,156504
Khagrachhari,Chittagong,2006,Boro Rice,20915,27770
Dinajpur,North region,2006,Boro Rice,397155,603367
Rangpur,North region,2006,Boro Rice,285785,429051
Rajshahi,North region,2006,Boro Rice,178155,288762
Bogura,North region,2006,Boro Rice,464335,677991
Khulna,Khulna,2007,Boro Rice,92835,149530
Jessor,Khulna,2007,Boro Rice,374070,584947
Satkhira,Khulna,2007,Boro Rice,158255,234407
Chuadanga,Khulna,2007,Boro Rice,88510,141753
Chittagong,Chittagong,2007,Boro Rice,189150,260882
Cox's Bazar,Chittagong,2007,Boro Rice,128250,176572
Chandpur,Chittagong,2007,Boro Rice,168430,252391
